FirmaID,UrunTID,Miktar,AlimSayisi
7989,128463,3700,2
9142,128481,18500,22
3930,128504,1080,1
964,128637,8500,1
1677,128704,2000,1
713,128812,1215,1
6234,128843,500,1
8194,128894,5021,1
9163,128894,500,1
9829,128894,1000,1
7711,128909,1000,1
5096,129012,500,1
8811,129031,1100,1
2842,129044,2200,1
5096,129057,500,1
5096,129058,650,1
10114,129093,1000,1
6684,129096,43147,1
974,129100,2129,1
5333,129134,1740,1
666,129135,1800,1
974,129140,3900,1
974,129142,3900,1
974,129144,4500,1
5096,129159,500,1
897,129251,10700,2
974,129251,3400,1
8179,129278,1100,1
8179,129280,1000,1
964,129282,5800,1
9975,129282,500,1
8179,129283,1000,1
9975,129283,2500,4
9975,129284,500,1
9206,129312,1650,2
3008,129361,3400,2
9366,129373,2000,2
3191,129413,1000,2
3191,129414,1000,2
6567,129516,3000,3
9206,129533,1000,1
5815,129604,500,1
5815,129610,500,1
3008,129611,5530,1
5815,129611,3900,6
5815,129617,4200,6
8397,129622,500,1
6684,129647,9100,1
9975,129661,1500,1
7530,129667,2000,1
974,129853,1485,1
974,129860,1345,1
3797,129892,500,1
3797,129893,500,1
9206,129895,1000,1
39,129953,2500,1
39,129957,2500,1
39,129958,2500,1
6209,129958,5100,1
872,129986,3125,1
9142,129986,750,1
3797,129989,2200,3
8179,130060,2000,1
6885,130104,2060,1
7091,130133,10000,1
7963,130140,1100,1
7091,130146,22500,6
6567,130196,500,1
6567,130197,500,1
6567,130198,1800,3
6567,130200,500,1
5815,130212,2500,3
9975,130212,1000,1
6234,130213,500,1
6234,130217,500,1
2537,130232,800,1
3289,130234,4500,1
6567,130290,700,1
6567,130292,700,1
6567,130293,600,1
6567,130294,1600,2
6567,130297,700,1
6567,130300,1500,2
6567,130301,700,1
6567,130305,700,1
6567,130306,500,1
6567,130307,1000,1
6567,130310,700,1
6567,130312,700,1
6567,130313,600,1
6567,130323,500,1
974,130341,3700,1
3008,130345,1000,1
872,130409,500,1
2537,130414,3270,3
7711,130430,4900,6
897,130437,4000,1
2007,130469,2145,1
2537,130479,600,1
5815,130520,500,1
974,130522,3421,1
5815,130522,500,1
8397,130532,500,1
8397,130556,7500,2
6567,130590,1000,1
6372,130609,500,1
4586,130628,4935,3
5815,130646,2500,3
4433,130660,1300,1
6432,130668,1250,1
4433,130669,1200,1
8540,130669,1320,1
25,130674,3850,1
5871,130679,18630,5
9366,130748,1000,1
8540,130829,600,1
897,130853,82694,11
8847,130853,9850,1
9186,130853,3060,1
8666,130884,1000,1
9206,130899,700,1
713,130911,8000,2
3797,130912,500,1
974,130944,2600,1
3155,130950,1740,1
3155,130953,1160,1
3797,130955,500,1
3082,131009,21350,23
3008,131025,1215,1
6209,131028,1800,1
9829,131071,600,1
9206,131074,1250,2
10114,131095,1000,1
9206,131103,650,1
5311,131354,2000,2
5311,131356,1000,1
5311,131358,850,1
6567,131402,600,1
6567,131403,2000,3
6567,131422,500,1
6567,131525,1500,2
6567,131527,1500,2
6567,131530,1500,2
6567,131533,1000,1
6567,131535,1000,1
4731,131641,1750,1
4731,131643,1750,1
3797,131715,700,1
7989,131905,950,1
6691,131969,500,1
897,132007,9000,1
897,132008,7300,1
2027,132022,800,1
6798,132022,630,1
666,132107,7500,1
2027,132107,2350,2
7311,132116,37500,2
39,132178,2450,1
666,132189,5800,1
3008,132189,1100,1
7711,132243,1800,2
715,132290,3550,1
5012,132322,750,1
715,132333,1750,1
7311,132344,14000,1
734,132352,1000,1
974,132362,2500,1
9163,132372,500,1
9163,132414,500,1
872,132426,1600,1
897,132426,95749,12
8540,132426,9500,2
8847,132426,23800,2
9163,132437,500,1
9163,132439,500,1
6577,132442,600,1
885,132491,6156,1
897,132498,13000,1
6432,132498,1000,1
897,132502,14890,2
9186,132502,4660,1
6885,132541,2630,1
8194,132554,3124,1
